"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 11:56:30,0.865,0,4.93,0
2025-03-03 11:56:32,0.865,0,4.93,0
2025-03-03 11:56:34,0.865,0,4.93,0
2025-03-03 11:56:36,0.865,0,4.93,0
2025-03-03 11:56:38,0.865,0,4.93,0
2025-03-03 11:56:40,0.857,0,4.80,0
2025-03-03 11:56:42,0.857,0,4.80,0
2025-03-03 11:56:44,0.857,0,4.80,0
2025-03-03 11:56:46,0.857,0,4.80,0
2025-03-03 11:56:48,0.857,0,4.80,0
2025-03-03 11:56:50,0.857,0,4.80,0
2025-03-03 11:56:52,0.857,0,4.80,0
2025-03-03 11:56:54,0.857,0,4.80,0
2025-03-03 11:56:56,0.857,0,4.80,0
2025-03-03 11:56:58,0.857,0,4.80,0
2025-03-03 11:57:00,0.857,0,4.80,0
2025-03-03 11:57:02,0.857,0,4.80,0
2025-03-03 11:57:04,0.857,0,4.80,0
2025-03-03 11:57:06,0.857,0,4.80,0
2025-03-03 11:57:08,0.857,0,4.80,0
2025-03-03 11:57:10,0.844,0,4.91,0
2025-03-03 11:57:12,0.844,0,4.91,0
2025-03-03 11:57:14,0.844,0,4.91,0
2025-03-03 11:57:16,0.844,0,4.91,0
2025-03-03 11:57:18,0.844,0,4.91,0
2025-03-03 11:57:20,0.844,0,4.91,0
2025-03-03 11:57:22,0.844,0,4.91,0
2025-03-03 11:57:24,0.844,0,4.91,0
2025-03-03 11:57:26,0.844,0,4.91,0
2025-03-03 11:57:28,0.844,0,4.91,0
2025-03-03 11:57:30,0.844,0,4.91,0
2025-03-03 11:57:32,0.844,0,4.91,0
2025-03-03 11:57:34,0.844,0,4.91,0
2025-03-03 11:57:36,0.844,0,4.91,0
2025-03-03 11:57:38,0.844,0,4.91,0
2025-03-03 11:57:40,0.870,0,4.74,0
2025-03-03 11:57:42,0.870,0,4.74,0
2025-03-03 11:57:44,0.870,0,4.74,0
2025-03-03 11:57:46,0.870,0,4.74,0
2025-03-03 11:57:48,0.870,0,4.74,0
2025-03-03 11:57:50,0.870,0,4.74,0
2025-03-03 11:57:52,0.870,0,4.74,0
2025-03-03 11:57:54,0.870,0,4.74,0
2025-03-03 11:57:56,0.870,0,4.74,0
2025-03-03 11:57:58,0.870,0,4.74,0
2025-03-03 11:58:00,0.870,0,4.74,0
2025-03-03 11:58:02,0.870,0,4.74,0
2025-03-03 11:58:04,0.870,0,4.74,0
2025-03-03 11:58:06,0.870,0,4.74,0
2025-03-03 11:58:08,0.870,0,4.74,0
2025-03-03 11:58:10,0.869,0,4.91,0
2025-03-03 11:58:12,0.869,0,4.91,0
2025-03-03 11:58:14,0.869,0,4.91,0
2025-03-03 11:58:16,0.869,0,4.91,0
2025-03-03 11:58:18,0.869,0,4.91,0
2025-03-03 11:58:20,0.869,0,4.91,0
2025-03-03 11:58:22,0.869,0,4.91,0
2025-03-03 11:58:24,0.869,0,4.91,0
2025-03-03 11:58:26,0.869,0,4.91,0
2025-03-03 11:58:28,0.869,0,4.91,0
2025-03-03 11:58:30,0.869,0,4.91,0
2025-03-03 11:58:32,0.869,0,4.91,0
2025-03-03 11:58:34,0.869,0,4.91,0
2025-03-03 11:58:36,0.869,0,4.91,0
2025-03-03 11:58:38,0.869,0,4.91,0
2025-03-03 11:58:40,0.887,0,4.86,0
2025-03-03 11:58:42,0.887,0,4.86,0
2025-03-03 11:58:44,0.887,0,4.86,0
2025-03-03 11:58:46,0.887,0,4.86,0
2025-03-03 11:58:48,0.887,0,4.86,0
2025-03-03 11:58:50,0.887,0,4.86,0
2025-03-03 11:58:52,0.887,0,4.86,0
2025-03-03 11:58:54,0.887,0,4.86,0
2025-03-03 11:58:56,0.887,0,4.86,0
2025-03-03 11:58:58,0.887,0,4.86,0
2025-03-03 11:59:00,0.887,0,4.86,0
2025-03-03 11:59:02,0.887,0,4.86,0
2025-03-03 11:59:04,0.887,0,4.86,0
2025-03-03 11:59:06,0.887,0,4.86,0
2025-03-03 11:59:08,0.887,0,4.86,0
2025-03-03 11:59:10,0.878,0,4.92,0
2025-03-03 11:59:12,0.878,0,4.92,0
2025-03-03 11:59:14,0.878,0,4.92,0
2025-03-03 11:59:16,0.878,0,4.92,0
2025-03-03 11:59:18,0.878,0,4.92,0
2025-03-03 11:59:20,0.878,0,4.92,0
2025-03-03 11:59:22,0.878,0,4.92,0
2025-03-03 11:59:24,0.878,0,4.92,0
2025-03-03 11:59:26,0.878,0,4.92,0
2025-03-03 11:59:28,0.878,0,4.92,0
2025-03-03 11:59:30,0.878,0,4.92,0
2025-03-03 11:59:32,0.878,0,4.92,0
2025-03-03 11:59:34,0.878,0,4.92,0
2025-03-03 11:59:36,0.878,0,4.92,0
2025-03-03 11:59:38,0.878,0,4.92,0
2025-03-03 11:59:40,0.883,0,4.85,0
2025-03-03 11:59:42,0.883,0,4.85,0
2025-03-03 11:59:44,0.883,0,4.85,0
2025-03-03 11:59:46,0.883,0,4.85,0
