"Time","control-project-56b89bcb95-wj5t5 / app-namespace / PKG","control-project-56b89bcb95-wj5t5 / app-namespace / DRAM","control-project-56b89bcb95-wj5t5 / app-namespace / OTHER","control-project-56b89bcb95-wj5t5 / app-namespace / GPU"
2025-02-28 10:39:37,0.0839,0,1.18,0
2025-02-28 10:39:38,0.0839,0,1.18,0
2025-02-28 10:39:39,0.0839,0,1.18,0
2025-02-28 10:39:40,0.0839,0,1.18,0
2025-02-28 10:39:41,0.0839,0,1.18,0
2025-02-28 10:39:42,0.0839,0,1.18,0
2025-02-28 10:39:43,0.0839,0,1.18,0
2025-02-28 10:39:44,0.0839,0,1.18,0
2025-02-28 10:39:45,0.0839,0,1.18,0
2025-02-28 10:39:46,0.0839,0,1.18,0
2025-02-28 10:39:47,0.0839,0,1.18,0
2025-02-28 10:39:48,0.0839,0,1.18,0
2025-02-28 10:39:49,0.0839,0,1.18,0
2025-02-28 10:39:50,0.0839,0,1.18,0
2025-02-28 10:39:51,0.0839,0,1.18,0
2025-02-28 10:39:52,0.0839,0,1.18,0
2025-02-28 10:39:53,0.0839,0,1.18,0
2025-02-28 10:39:54,0.0839,0,1.18,0
2025-02-28 10:39:55,0.0839,0,1.18,0
2025-02-28 10:39:56,0.0839,0,1.18,0
2025-02-28 10:39:57,0.0839,0,1.18,0
2025-02-28 10:39:58,0.0839,0,1.18,0
2025-02-28 10:39:59,0.0839,0,1.18,0
2025-02-28 10:40:00,0.0839,0,1.18,0
2025-02-28 10:40:01,0.0839,0,1.18,0
2025-02-28 10:40:02,0.0839,0,1.18,0
2025-02-28 10:40:03,0.0839,0,1.18,0
2025-02-28 10:40:04,0.0839,0,1.18,0
2025-02-28 10:40:05,0.0839,0,1.18,0
2025-02-28 10:40:06,0.0910,0,1.21,0
2025-02-28 10:40:07,0.0910,0,1.21,0
2025-02-28 10:40:08,0.0910,0,1.21,0
2025-02-28 10:40:09,0.0910,0,1.21,0
